,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Cidreira,-30.18,-50.21,58.08,92,100,14.61,BR,1598811351
137,Kardašova Řečice,49.18,14.85,64.99,88,69,3.0,CZ,1598811351
138,Tsimmerbude,54.67,20.13,64.4,82,20,2.24,RU,1598811351
139,Tursunzoda,38.51,68.23,69.8,49,0,4.47,TJ,1598811351
140,Havre-St-Pierre,50.23,-63.6,53.6,81,90,6.93,CA,1598811352
141,Ciudad Real,39.0,-4.0,75.0,27,0,12.28,ES,1598811352
142,Amga,60.9,131.96,52.99,78,100,4.0,RU,1598811352
143,Vilhena,-12.74,-60.15,91.4,41,40,6.93,BR,1598811352
144,Kununurra,-15.77,128.73,66.2,22,0,3.36,AU,1598811353
145,Guadalupe y Calvo,26.1,-106.97,70.84,73,3,4.05,MX,1598811353
146,Vikulovo,56.82,70.61,66.43,81,1,5.97,RU,1598811353
147,Mount Isa,-20.73,139.5,71.6,35,0,6.93,AU,1598811353
148,Seymchan,62.88,152.43,34.68,86,0,3.4,RU,1598811354
149,Ust-Tsilma,65.44,52.15,52.21,97,98,3.91,RU,1598811354
150,Lebu,-37.62,-73.65,50.29,65,0,22.84,CL,1598811354
151,Peshkopi,41.69,20.43,77.0,60,0,2.24,AL,1598811354
152,Kumul,42.8,93.45,71.31,22,0,6.69,CN,1598811355
153,Tasiilaq,65.61,-37.64,53.6,46,100,13.87,GL,1598811355
154,Yuanping,38.72,112.76,64.51,69,95,5.21,CN,1598811355
155,Saint George,37.1,-113.58,91.99,21,1,5.82,US,1598811069
156,Adana Province,36.98,35.29,84.2,62,0,4.7,TR,1598811148
157,Nizhnyaya Salda,58.08,60.72,60.89,89,88,6.22,RU,1598811355
158,Half Moon Bay,37.46,-122.43,69.01,82,40,6.93,US,1598811356
159,Darnah,32.77,22.64,77.99,75,0,11.1,LY,1598811356
160,Siverek,37.76,39.32,89.6,13,0,6.93,TR,1598811356
161,Castro,-24.79,-50.01,79.99,41,0,5.44,BR,1598811356
162,Chui,-33.7,-53.46,52.23,58,98,5.03,UY,1598811357
163,Cabo San Lucas,22.89,-109.91,88.0,83,40,10.29,MX,1598811357
164,Le Pont-de-Claix,45.12,5.71,52.0,88,35,1.01,FR,1598811357
165,Parangan,5.08,119.94,82.81,73,61,4.97,PH,1598811357
